*** Setting up environment
*** Setting up first AFP user
*** Configuring shared volume
*** Fixing permissions
*** Removing residual lock files
*** Configuring Netatalk
NOTE: Set the `ATALKD_INTERFACE' environment variable to start DDP services.
*** Starting AFP server
*** Running testsuite: speed

test_name,iteration,file_size_mb,microseconds,throughput_mbs
4096,0.004,46.95,47.64,44.90,48.23,0.0,0.1
8192,0.008,78.76,83.11,63.52,84.92,0.0,0.1
16384,0.016,160.75,161.08,159.44,162.76,0.0,0.1
32768,0.031,303.40,309.41,289.35,315.66,0.0,0.1
65536,0.062,578.70,600.96,492.13,637.76,0.0,0.1
131072,0.125,960.06,961.54,925.93,992.06,0.0,0.1
262144,0.250,1448.44,1479.29,1373.63,1488.10,0.0,0.2
524288,0.500,2072.97,2083.33,1930.50,2192.98,0.0,0.2
1048576,1.000,2487.56,2500.00,2293.58,2617.80,0.0,0.4
2097152,2.000,2385.50,2415.46,2166.85,2525.25,0.0,0.8
4194304,4.000,2492.21,2514.14,2422.77,2526.85,0.0,1.6
8388608,8.000,1963.96,1976.77,1928.64,1993.52,0.1,4.1
16777216,16.000,2283.76,2390.56,1935.17,2408.19,0.6,7.0
33554432,32.000,2242.56,2241.68,2216.37,2264.69,0.1,14.3
67108864,64.000,2235.03,2279.77,2079.61,2286.45,1.1,28.6
134217728,128.000,2171.71,2188.75,2085.06,2204.01,1.2,58.9
268435456,256.000,2242.24,2250.23,2200.58,2266.75,1.3,114.2

# File Size Performance Summary for ServerCopy
file_size_bytes,file_size_mb,mean_throughput_mbs,median_throughput_mbs,min_throughput_mbs,max_throughput_mbs,stddev_ms,mean_time_ms
4096,0.004,11.20,11.26,10.12,11.95,0.0,0.3
8192,0.008,22.80,24.19,19.01,25.04,0.0,0.3
16384,0.016,41.40,45.03,30.94,46.50,0.1,0.4
32768,0.031,83.92,89.80,71.35,97.66,0.0,0.4
65536,0.062,168.92,177.05,151.33,184.37,0.0,0.4
131072,0.125,306.97,322.16,253.04,337.84,0.0,0.4
262144,0.250,602.70,663.13,478.01,670.24,0.1,0.4
524288,0.500,1087.43,1086.96,963.39,1179.25,0.0,0.5
1048576,1.000,1696.07,1727.12,1531.39,1788.91,0.0,0.6
2097152,2.000,2365.18,2355.71,2317.50,2442.00,0.0,0.8
4194304,4.000,2967.80,2945.51,2890.17,3086.42,0.0,1.3
8388608,8.000,3236.51,3202.56,3159.56,3333.33,0.0,2.5
16777216,16.000,3464.70,3452.00,3407.88,3521.90,0.1,4.6
33554432,32.000,3468.61,3477.13,3443.08,3488.50,0.0,9.2
67108864,64.000,3642.41,3640.71,3631.82,3654.64,0.0,17.6
134217728,128.000,3648.89,3647.04,3634.61,3665.42,0.1,35.1
268435456,256.000,3664.01,3667.31,3645.48,3672.83,0.2,69.9

# TCP Metrics Evolution Summary
metric,initial,final,delta
tcp_send_buffer_kb,2565,2565,0
tcp_recv_buffer_kb,128,14563,14435
tcp_mss_bytes,32768,65483,32715
tcp_cwnd_segments,10,10,0
tcp_ssthresh_segments,2147483647,20,-2147483627
tcp_rtt_ms,4.44,7.41,2.97
tcp_rtt_variance_ms,8.84,10.99,2.15
tcp_retrans_current,0,0,0
tcp_total_retrans,0,0,0
tcp_lost_packets,0,0,0
tcp_reordering,3,3,0
tcp_send_mss_bytes,32768,65483,32715
tcp_recv_mss_bytes,536,65483,64947
tcp_adv_mss_bytes,65483,65483,0
tcp_recv_space_kb,63,7168,7104
==== TESTS (speed) COMPLETED (exit code: 0) ====
