*** Setting up environment
*** Setting up first AFP user
*** Configuring shared volume
*** Fixing permissions
*** Removing residual lock files
*** Configuring Netatalk
NOTE: Set the `ATALKD_INTERFACE' environment variable to start DDP services.
*** Starting AFP server
*** Running testsuite: speed

test_name,iteration,file_size_mb,microseconds,throughput_mbs
Copy,4,0.062,109,573.39
Copy,5,0.062,127,492.13
Copy_mean,,0.062,108,578.70
Copy_median,,0.062,104,600.96
Copy_stddev,,0.062,10,
Copy_min,,0.062,98,637.76
Copy_max,,0.062,127,492.13
ServerCopy,1,0.062,339,184.37
ServerCopy,2,0.062,341,183.28
ServerCopy,3,0.062,413,151.33
ServerCopy,4,0.062,404,154.70
ServerCopy,5,0.062,353,177.05
ServerCopy_mean,,0.062,370,168.92
ServerCopy_median,,0.062,353,177.05
ServerCopy_stddev,,0.062,31,
ServerCopy_min,,0.062,339,184.37
ServerCopy_max,,0.062,413,151.33
Read,1,0.125,58,2155.17
Read,2,0.125,54,2314.81
Read,3,0.125,51,2450.98
Read,4,0.125,51,2450.98
Read,5,0.125,52,2403.85
Read_mean,,0.125,53,2349.62
Read_median,,0.125,52,2403.85
Read_stddev,,0.125,2,
Read_min,,0.125,51,2450.98
Read_max,,0.125,58,2155.17
Write,1,0.125,492,254.07
Write,2,0.125,486,257.20
Write,3,0.125,509,245.58
Write,4,0.125,470,265.96
Write,5,0.125,520,240.38
Write_mean,,0.125,495,252.32
Write_median,,0.125,492,254.07
Write_stddev,,0.125,17,
Write_min,,0.125,470,265.96
Write_max,,0.125,520,240.38
Copy,1,0.125,130,961.54
Copy,2,0.125,133,939.85
Copy,3,0.125,135,925.93
Copy,4,0.125,127,984.25
Copy,5,0.125,126,992.06
Copy_mean,,0.125,130,960.06
Copy_median,,0.125,130,961.54
Copy_stddev,,0.125,3,
Copy_min,,0.125,126,992.06
Copy_max,,0.125,135,925.93
ServerCopy,1,0.125,388,322.16
ServerCopy,2,0.125,494,253.04
ServerCopy,3,0.125,372,336.02
ServerCopy,4,0.125,370,337.84
ServerCopy,5,0.125,412,303.40
ServerCopy_mean,,0.125,407,306.97
ServerCopy_median,,0.125,388,322.16
ServerCopy_stddev,,0.125,45,
ServerCopy_min,,0.125,370,337.84
ServerCopy_max,,0.125,494,253.04
Read,1,0.250,91,2747.25
Read,2,0.250,85,2941.18
Read,3,0.250,80,3125.00
Read,4,0.250,98,2551.02
Read,5,0.250,99,2525.25
Read_mean,,0.250,90,2759.38
Read_median,,0.250,91,2747.25
Read_stddev,,0.250,7,
Read_min,,0.250,80,3125.00
Read_max,,0.250,99,2525.25
Write,1,0.250,630,396.83
Write,2,0.250,543,460.41
Write,3,0.250,521,479.85
Write,4,0.250,448,558.04
Write,5,0.250,592,422.30
Write_mean,,0.250,546,457.21
Write_median,,0.250,543,460.41
Write_stddev,,0.250,62,
Write_min,,0.250,448,558.04
Write_max,,0.250,630,396.83
Copy,1,0.250,175,1428.57
Copy,2,0.250,182,1373.63
Copy,3,0.250,169,1479.29
Copy,4,0.250,169,1479.29
Copy,5,0.250,168,1488.10
Copy_mean,,0.250,172,1448.44
Copy_median,,0.250,169,1479.29
Copy_stddev,,0.250,5,
Copy_min,,0.250,168,1488.10
Copy_max,,0.250,182,1373.63
ServerCopy,1,0.250,377,663.13
ServerCopy,2,0.250,377,663.13
ServerCopy,3,0.250,424,589.62
ServerCopy,4,0.250,373,670.24
ServerCopy,5,0.250,523,478.01
ServerCopy_mean,,0.250,414,602.70
ServerCopy_median,,0.250,377,663.13
ServerCopy_stddev,,0.250,57,
ServerCopy_min,,0.250,373,670.24
ServerCopy_max,,0.250,523,478.01
Read,1,0.500,119,4201.68
Read,2,0.500,111,4504.50
Read,3,0.500,102,4901.96
Read,4,0.500,104,4807.69
Read,5,0.500,104,4807.69
Read_mean,,0.500,108,4629.63
Read_median,,0.500,104,4807.69
Read_stddev,,0.500,6,
Read_min,,0.500,102,4901.96
Read_max,,0.500,119,4201.68
Write,1,0.500,617,810.37
Write,2,0.500,558,896.06
Write,3,0.500,743,672.95
Write,4,0.500,657,761.04
Write,5,0.500,642,778.82
Write_mean,,0.500,643,777.12
Write_median,,0.500,642,778.82
Write_stddev,,0.500,60,
Write_min,,0.500,558,896.06
Write_max,,0.500,743,672.95
Copy,1,0.500,259,1930.50
Copy,2,0.500,240,2083.33
Copy,3,0.500,239,2092.05
Copy,4,0.500,240,2083.33
Copy,5,0.500,228,2192.98
Copy_mean,,0.500,241,2072.97
Copy_median,,0.500,240,2083.33
Copy_stddev,,0.500,9,
Copy_min,,0.500,228,2192.98
Copy_max,,0.500,259,1930.50
ServerCopy,1,0.500,460,1086.96
ServerCopy,2,0.500,472,1059.32
ServerCopy,3,0.500,519,963.39
ServerCopy,4,0.500,424,1179.25
ServerCopy,5,0.500,424,1179.25
ServerCopy_mean,,0.500,459,1087.43
ServerCopy_median,,0.500,460,1086.96
ServerCopy_stddev,,0.500,35,
ServerCopy_min,,0.500,424,1179.25
ServerCopy_max,,0.500,519,963.39
Read,1,1.000,189,5291.01
Read,2,1.000,213,4694.84
Read,3,1.000,180,5555.56
Read,4,1.000,230,4347.83
Read,5,1.000,207,4830.92
Read_mean,,1.000,203,4906.77
Read_median,,1.000,207,4830.92
Read_stddev,,1.000,17,
Read_min,,1.000,180,5555.56
Read_max,,1.000,230,4347.83
Write,1,1.000,919,1088.14
Write,2,1.000,1051,951.47
Write,3,1.000,907,1102.54
Write,4,1.000,926,1079.91
Write,5,1.000,975,1025.64
Write_mean,,1.000,955,1046.46
Write_median,,1.000,926,1079.91
Write_stddev,,1.000,53,
Write_min,,1.000,907,1102.54
Write_max,,1.000,1051,951.47
Copy,1,1.000,387,2583.98
Copy,2,1.000,382,2617.80
Copy,3,1.000,436,2293.58
Copy,4,1.000,405,2469.14
Copy,5,1.000,400,2500.00
Copy_mean,,1.000,402,2487.56
Copy_median,,1.000,400,2500.00
Copy_stddev,,1.000,18,
Copy_min,,1.000,382,2617.80
Copy_max,,1.000,436,2293.58
ServerCopy,1,1.000,579,1727.12
ServerCopy,2,1.000,559,1788.91
ServerCopy,3,1.000,653,1531.39
ServerCopy,4,1.000,589,1697.79
ServerCopy,5,1.000,568,1760.56
ServerCopy_mean,,1.000,589,1696.07
ServerCopy_median,,1.000,579,1727.12
ServerCopy_stddev,,1.000,33,
ServerCopy_min,,1.000,559,1788.91
ServerCopy_max,,1.000,653,1531.39
Read,1,2.000,441,4535.15
Read,2,2.000,499,4008.02
Read,3,2.000,439,4555.81
Read,4,2.000,456,4385.96
Read,5,2.000,531,3766.48
Read_mean,,2.000,473,4226.54
Read_median,,2.000,456,4385.96
Read_stddev,,2.000,36,
Read_min,,2.000,439,4555.81
Read_max,,2.000,531,3766.48
Write,1,2.000,1380,1449.28
Write,2,2.000,1359,1471.67
Write,3,2.000,1314,1522.07
Write,4,2.000,1240,1612.90
Write,5,2.000,1359,1471.67
Write_mean,,2.000,1330,1503.31
Write_median,,2.000,1359,1471.67
Write_stddev,,2.000,50,
Write_min,,2.000,1240,1612.90
Write_max,,2.000,1380,1449.28
